time,open,high,low,close,tick_volume,spread,real_volume,utc,jst
1762134480,52437.89,52437.89,52400.39,52405.39,37,1000,0,2025-11-02 23:48:00+00:00,2025-11-03 08:48:00+09:00
1762134540,52405.39,52440.39,52397.89,52437.89,43,1000,0,2025-11-02 23:49:00+00:00,2025-11-03 08:49:00+09:00
1762134600,52437.89,52470.39,52435.39,52470.39,45,1000,0,2025-11-02 23:50:00+00:00,2025-11-03 08:50:00+09:00
1762134660,52470.39,52470.39,52420.39,52422.89,33,1000,0,2025-11-02 23:51:00+00:00,2025-11-03 08:51:00+09:00
1762134720,52420.39,52440.39,52417.89,52435.39,22,1000,0,2025-11-02 23:52:00+00:00,2025-11-03 08:52:00+09:00
1762134780,52435.39,52440.39,52412.89,52427.89,21,1000,0,2025-11-02 23:53:00+00:00,2025-11-03 08:53:00+09:00
1762134840,52425.39,52440.39,52417.89,52417.89,21,1000,0,2025-11-02 23:54:00+00:00,2025-11-03 08:54:00+09:00
1762134900,52417.89,52420.39,52400.39,52415.39,29,1000,0,2025-11-02 23:55:00+00:00,2025-11-03 08:55:00+09:00
1762134960,52415.39,52430.39,52402.89,52430.39,23,1000,0,2025-11-02 23:56:00+00:00,2025-11-03 08:56:00+09:00
1762135020,52430.39,52432.89,52402.89,52410.39,22,1000,0,2025-11-02 23:57:00+00:00,2025-11-03 08:57:00+09:00
1762135080,52410.39,52420.39,52402.89,52405.39,22,1000,0,2025-11-02 23:58:00+00:00,2025-11-03 08:58:00+09:00
1762135140,52405.39,52405.39,52380.39,52380.39,11,1000,0,2025-11-02 23:59:00+00:00,2025-11-03 08:59:00+09:00
1762135200,52380.39,52390.39,52370.39,52375.39,26,1000,0,2025-11-03 00:00:00+00:00,2025-11-03 09:00:00+09:00
1762135260,52375.39,52405.39,52375.39,52405.39,26,1000,0,2025-11-03 00:01:00+00:00,2025-11-03 09:01:00+09:00
1762135320,52405.39,52405.39,52385.39,52385.39,27,1000,0,2025-11-03 00:02:00+00:00,2025-11-03 09:02:00+09:00
1762135380,52380.39,52390.39,52372.89,52385.39,28,1000,0,2025-11-03 00:03:00+00:00,2025-11-03 09:03:00+09:00
1762135440,52385.39,52400.39,52382.89,52385.39,18,1000,0,2025-11-03 00:04:00+00:00,2025-11-03 09:04:00+09:00
1762135500,52385.39,52397.89,52380.39,52397.89,43,1000,0,2025-11-03 00:05:00+00:00,2025-11-03 09:05:00+09:00
1762135560,52397.89,52402.89,52390.39,52402.89,20,1000,0,2025-11-03 00:06:00+00:00,2025-11-03 09:06:00+09:00
1762135620,52410.39,52415.39,52400.39,52415.39,28,1000,0,2025-11-03 00:07:00+00:00,2025-11-03 09:07:00+09:00
1762135680,52412.89,52415.39,52395.39,52397.89,13,1000,0,2025-11-03 00:08:00+00:00,2025-11-03 09:08:00+09:00
1762135740,52400.39,52400.39,52385.39,52400.39,23,1000,0,2025-11-03 00:09:00+00:00,2025-11-03 09:09:00+09:00
1762135800,52397.89,52402.89,52390.39,52390.39,15,1000,0,2025-11-03 00:10:00+00:00,2025-11-03 09:10:00+09:00
1762135860,52385.39,52385.39,52345.39,52345.39,21,1000,0,2025-11-03 00:11:00+00:00,2025-11-03 09:11:00+09:00
1762135920,52350.39,52350.39,52327.89,52330.39,19,1000,0,2025-11-03 00:12:00+00:00,2025-11-03 09:12:00+09:00
1762135980,52332.89,52350.39,52332.89,52345.39,20,1000,0,2025-11-03 00:13:00+00:00,2025-11-03 09:13:00+09:00
1762136040,52345.39,52350.39,52330.39,52340.39,18,1000,0,2025-11-03 00:14:00+00:00,2025-11-03 09:14:00+09:00
1762136100,52337.89,52360.39,52335.39,52360.39,26,1000,0,2025-11-03 00:15:00+00:00,2025-11-03 09:15:00+09:00
1762136160,52360.39,52365.39,52345.39,52347.89,22,1000,0,2025-11-03 00:16:00+00:00,2025-11-03 09:16:00+09:00
1762136220,52345.39,52347.89,52337.89,52340.39,13,1000,0,2025-11-03 00:17:00+00:00,2025-11-03 09:17:00+09:00
1762136280,52340.39,52342.89,52335.39,52335.39,23,1000,0,2025-11-03 00:18:00+00:00,2025-11-03 09:18:00+09:00
1762136340,52335.39,52345.39,52330.39,52342.89,18,1000,0,2025-11-03 00:19:00+00:00,2025-11-03 09:19:00+09:00
1762136400,52342.89,52345.39,52332.89,52345.39,24,1000,0,2025-11-03 00:20:00+00:00,2025-11-03 09:20:00+09:00
1762136460,52345.39,52370.39,52345.39,52355.39,47,1000,0,2025-11-03 00:21:00+00:00,2025-11-03 09:21:00+09:00
1762136520,52355.39,52370.39,52350.39,52360.39,22,1000,0,2025-11-03 00:22:00+00:00,2025-11-03 09:22:00+09:00
1762136580,52360.39,52365.39,52350.39,52350.39,21,1000,0,2025-11-03 00:23:00+00:00,2025-11-03 09:23:00+09:00
1762136640,52350.39,52360.39,52347.89,52355.39,24,1000,0,2025-11-03 00:24:00+00:00,2025-11-03 09:24:00+09:00
1762136700,52355.39,52355.39,52315.39,52315.39,20,1000,0,2025-11-03 00:25:00+00:00,2025-11-03 09:25:00+09:00
1762136760,52315.39,52320.39,52305.39,52305.39,22,1000,0,2025-11-03 00:26:00+00:00,2025-11-03 09:26:00+09:00
1762136820,52305.39,52312.89,52300.39,52305.39,17,1000,0,2025-11-03 00:27:00+00:00,2025-11-03 09:27:00+09:00
1762136880,52305.39,52320.39,52305.39,52320.39,26,1000,0,2025-11-03 00:28:00+00:00,2025-11-03 09:28:00+09:00
1762136940,52320.39,52330.39,52305.39,52330.39,19,1000,0,2025-11-03 00:29:00+00:00,2025-11-03 09:29:00+09:00
1762137000,52335.39,52340.39,52315.39,52317.89,33,1000,0,2025-11-03 00:30:00+00:00,2025-11-03 09:30:00+09:00
1762137060,52317.89,52320.39,52305.39,52310.39,30,1000,0,2025-11-03 00:31:00+00:00,2025-11-03 09:31:00+09:00
1762137120,52310.39,52330.39,52310.39,52325.39,18,1000,0,2025-11-03 00:32:00+00:00,2025-11-03 09:32:00+09:00
1762137180,52325.39,52335.39,52315.39,52315.39,27,1000,0,2025-11-03 00:33:00+00:00,2025-11-03 09:33:00+09:00
1762137240,52315.39,52317.89,52285.39,52285.39,32,1000,0,2025-11-03 00:34:00+00:00,2025-11-03 09:34:00+09:00
1762137300,52290.39,52292.89,52290.39,52290.39,5,1000,0,2025-11-03 00:35:00+00:00,2025-11-03 09:35:00+09:00
1762137360,52290.39,52290.39,52275.39,52280.39,20,1000,0,2025-11-03 00:36:00+00:00,2025-11-03 09:36:00+09:00
1762137420,52280.39,52285.39,52275.39,52275.39,13,1000,0,2025-11-03 00:37:00+00:00,2025-11-03 09:37:00+09:00
1762137480,52275.39,52275.39,52265.39,52265.39,17,1000,0,2025-11-03 00:38:00+00:00,2025-11-03 09:38:00+09:00
1762137540,52270.39,52300.39,52270.39,52300.39,24,1000,0,2025-11-03 00:39:00+00:00,2025-11-03 09:39:00+09:00
1762137600,52300.39,52300.39,52280.39,52285.39,21,1000,0,2025-11-03 00:40:00+00:00,2025-11-03 09:40:00+09:00
1762137660,52285.39,52285.39,52275.39,52275.39,17,1000,0,2025-11-03 00:41:00+00:00,2025-11-03 09:41:00+09:00
1762137720,52275.39,52282.89,52270.39,52280.39,12,1000,0,2025-11-03 00:42:00+00:00,2025-11-03 09:42:00+09:00
1762137780,52280.39,52282.89,52270.39,52275.39,17,1000,0,2025-11-03 00:43:00+00:00,2025-11-03 09:43:00+09:00
1762137840,52275.39,52275.39,52270.39,52270.39,4,1000,0,2025-11-03 00:44:00+00:00,2025-11-03 09:44:00+09:00
1762137900,52270.39,52287.89,52267.89,52285.39,22,1000,0,2025-11-03 00:45:00+00:00,2025-11-03 09:45:00+09:00
1762137960,52285.39,52285.39,52275.39,52275.39,14,1000,0,2025-11-03 00:46:00+00:00,2025-11-03 09:46:00+09:00
1762138020,52275.39,52275.39,52260.39,52260.39,20,1000,0,2025-11-03 00:47:00+00:00,2025-11-03 09:47:00+09:00
1762138080,52260.39,52260.39,52250.39,52255.39,15,1000,0,2025-11-03 00:48:00+00:00,2025-11-03 09:48:00+09:00
1762138140,52255.39,52255.39,52240.39,52242.89,19,1000,0,2025-11-03 00:49:00+00:00,2025-11-03 09:49:00+09:00
1762138200,52242.89,52245.39,52225.39,52230.39,26,1000,0,2025-11-03 00:50:00+00:00,2025-11-03 09:50:00+09:00
1762138260,52230.39,52240.39,52225.39,52240.39,21,1000,0,2025-11-03 00:51:00+00:00,2025-11-03 09:51:00+09:00
1762138320,52240.39,52250.39,52235.39,52250.39,27,1000,0,2025-11-03 00:52:00+00:00,2025-11-03 09:52:00+09:00
1762138380,52252.89,52255.39,52242.89,52245.39,38,1000,0,2025-11-03 00:53:00+00:00,2025-11-03 09:53:00+09:00
1762138440,52245.39,52272.89,52245.39,52260.39,32,1000,0,2025-11-03 00:54:00+00:00,2025-11-03 09:54:00+09:00
1762138500,52260.39,52260.39,52250.39,52250.39,6,1000,0,2025-11-03 00:55:00+00:00,2025-11-03 09:55:00+09:00
1762138560,52250.39,52257.89,52245.39,52255.39,10,1000,0,2025-11-03 00:56:00+00:00,2025-11-03 09:56:00+09:00
1762138620,52257.89,52265.39,52250.39,52250.39,18,1000,0,2025-11-03 00:57:00+00:00,2025-11-03 09:57:00+09:00
